id,awardYear,category.en,affiliations.nameNow.en,affiliations.cityNow.sameas.wikidata,affiliations.cityNow.sameas.wikipedia,affiliations.countryNow.sameas.wikidata
745,2001,Economic Sciences,Stanford University,https://www.wikidata.org/wiki/Q173813,"https://www.wikipedia.org/wiki/Stanford,_California",https://www.wikidata.org/wiki/Q30
102,1975,Physics,Niels Bohr Institute,https://www.wikidata.org/wiki/Q1748,https://www.wikipedia.org/wiki/Copenhagen,https://www.wikidata.org/wiki/Q35
779,2004,Chemistry,Technion - Israel Institute of Technology,https://www.wikidata.org/wiki/Q41621,https://www.wikipedia.org/wiki/Haifa,https://www.wikidata.org/wiki/Q801
259,1982,Chemistry,MRC Laboratory of Molecular Biology,https://www.wikidata.org/wiki/Q350,https://www.wikipedia.org/wiki/Cambridge,https://www.wikidata.org/wiki/Q145
114,1979,Physics,International Centre for Theoretical Physics,https://www.wikidata.org/wiki/Q546,https://www.wikipedia.org/wiki/Trieste,https://www.wikidata.org/wiki/Q38
114,1979,Physics,Imperial College,https://www.wikidata.org/wiki/Q84,https://www.wikipedia.org/wiki/London,https://www.wikidata.org/wiki/Q145
982,2019,Economic Sciences,Massachusetts Institute of Technology (MIT),https://www.wikidata.org/wiki/Q49111,"https://www.wikipedia.org/wiki/Cambridge,_Massachusetts",https://www.wikidata.org/wiki/Q30
843,2009,Chemistry,Weizmann Institute of Science,https://www.wikidata.org/wiki/Q207350,https://www.wikipedia.org/wiki/Rehovot,https://www.wikidata.org/wiki/Q801
866,2011,Physics,Johns Hopkins University,https://www.wikidata.org/wiki/Q5092,https://www.wikipedia.org/wiki/Baltimore,https://www.wikidata.org/wiki/Q30
866,2011,Physics,Space Telescope Science Institute,https://www.wikidata.org/wiki/Q5092,https://www.wikipedia.org/wiki/Baltimore,https://www.wikidata.org/wiki/Q30
199,1939,Chemistry,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,https://www.wikidata.org/wiki/Q700541,https://www.wikipedia.org/wiki/Dahlem_(Berlin),https://www.wikidata.org/wiki/Q183
199,1939,Chemistry,Berlin University,https://www.wikidata.org/wiki/Q64,https://www.wikipedia.org/wiki/Berlin,https://www.wikidata.org/wiki/Q183
164,1905,Chemistry,Munich University,https://www.wikidata.org/wiki/Q1726,https://www.wikipedia.org/wiki/Munich,https://www.wikidata.org/wiki/Q183
185,1928,Chemistry,Goettingen University,https://www.wikidata.org/wiki/Q3033,https://www.wikipedia.org/wiki/G%C3%B6ttingen,https://www.wikidata.org/wiki/Q183
292,1999,Chemistry,California Institute of Technology (Caltech),https://www.wikidata.org/wiki/Q485176,"https://www.wikipedia.org/wiki/Pasadena,_California",https://www.wikidata.org/wiki/Q30
