affiliations.name.en,affiliations.name.no,affiliations.name.se,affiliations.nameNow.en,affiliations.city.en,affiliations.city.no,affiliations.city.se,affiliations.country.en,affiliations.country.no,affiliations.country.se,affiliations.cityNow.en,affiliations.cityNow.no,affiliations.cityNow.se,affiliations.countryNow.en,affiliations.countryNow.no,affiliations.countryNow.se,affiliations.locationString.en,affiliations.locationString.no,affiliations.locationString.se,id,awardYear,category.en
Stanford University,Stanford University,Stanford University,Stanford University,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA, USA","Stanford, CA, USA","Stanford, CA, USA",745,2001,Economic Sciences
Niels Bohr Institute,Niels Bohr Institute,Niels Bohr Institute,Niels Bohr Institute,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",102,1975,Physics
Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Haifa,Haifa,Haifa,Israel,Israel,Israel,Haifa,Haifa,Haifa,Israel,Israel,Israel,"Haifa, Israel","Haifa, Israel","Haifa, Israel",779,2004,Chemistry
MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",259,1982,Chemistry
International Centre for Theoretical Physics,International Centre for Theoretical Physics,International Centre for Theoretical Physics,International Centre for Theoretical Physics,Trieste,Trieste,Trieste,Italy,Italia,Italien,Trieste,Trieste,Trieste,Italy,Italia,Italien,"Trieste, Italy","Trieste, Italia","Trieste, Italien",114,1979,Physics
Imperial College,Imperial College,Imperial College,Imperial College,London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",114,1979,Physics
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",982,2019,Economic Sciences
Weizmann Institute of Science,Weizmann Institute of Science,Weizmann Institute of Science,Weizmann Institute of Science,Rehovot,Rehovot,Rehovot,Israel,Israel,Israel,Rehovot,Rehovot,Rehovot,Israel,Israel,Israel,"Rehovot, Israel","Rehovot, Israel","Rehovot, Israel",843,2009,Chemistry
Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,"Baltimore, MD","Baltimore, MD","Baltimore, MD",USA,USA,USA,"Baltimore, MD","Baltimore, MD","Baltimore, MD",USA,USA,USA,"Baltimore, MD, USA","Baltimore, MD, USA","Baltimore, MD, USA",866,2011,Physics
Space Telescope Science Institute,Space Telescope Science Institute,Space Telescope Science Institute,Space Telescope Science Institute,"Baltimore, MD","Baltimore, MD","Baltimore, MD",USA,USA,USA,"Baltimore, MD","Baltimore, MD","Baltimore, MD",USA,USA,USA,"Baltimore, MD, USA","Baltimore, MD, USA","Baltimore, MD, USA",866,2011,Physics
Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,Germany,Tyskland,Tyskland,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,Germany,Tyskland,Tyskland,"Berlin-Dahlem, Germany","Berlin-Dahlem, Tyskland","Berlin-Dahlem, Tyskland",199,1939,Chemistry
