residences.country.en,residences.country.no,residences.country.se,residences.countryNow.en,residences.countryNow.no,residences.countryNow.se,residences.locationString.en,residences.locationString.no,residences.locationString.se,id,awardYear,category.en,residences.city.en,residences.city.no,residences.city.se,residences.cityNow.en,residences.cityNow.no,residences.cityNow.se
Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,541,1980,Peace,NA,NA,NA,NA,NA,NA
USA,USA,USA,USA,USA,USA,USA,USA,USA,819,2007,Peace,NA,NA,NA,NA,NA,NA
France,Frankrike,Frankrike,France,Frankrike,Frankrike,France,Frankrike,Frankrike,628,1957,Literature,NA,NA,NA,NA,NA,NA
Switzerland,Sveits,Schweiz,Switzerland,Sveits,Schweiz,Switzerland,Sveits,Schweiz,465,1902,Peace,NA,NA,NA,NA,NA,NA
South Africa,Sør-Afrika,Sydafrika,South Africa,Sør-Afrika,Sydafrika,South Africa,Sør-Afrika,Sydafrika,519,1960,Peace,NA,NA,NA,NA,NA,NA
France,Frankrike,Frankrike,France,Frankrike,Frankrike,France,Frankrike,Frankrike,513,1952,Peace,NA,NA,NA,NA,NA,NA
USSR,Sovjet,Sovjetunionen,Russia,Russland,Ryssland,USSR (now Russia),Sovjet (nå Russland),Sovjetunionen (nu Ryssland),644,1970,Literature,NA,NA,NA,NA,NA,NA
Switzerland,Sveits,Schweiz,Switzerland,Sveits,Schweiz,"Geneva, Switzerland","Genève, Sveits","Genève, Schweiz",544,1982,Peace,Geneva,Genève,Genève,Geneva,Genève,Genève
Austria,Østerrike,Österrike,Austria,Østerrike,Österrike,Austria,Østerrike,Österrike,479,1911,Peace,NA,NA,NA,NA,NA,NA
Canada,Canada,Kanada,Canada,Canada,Kanada,Canada,Canada,Kanada,892,2013,Literature,NA,NA,NA,NA,NA,NA
Sweden,Sverige,Sverige,Sweden,Sverige,Sverige,Sweden,Sverige,Sverige,543,1982,Peace,NA,NA,NA,NA,NA,NA
France,Frankrike,Frankrike,France,Frankrike,Frankrike,France,Frankrike,Frankrike,590,1921,Literature,NA,NA,NA,NA,NA,NA
France,Frankrike,Frankrike,France,Frankrike,Frankrike,France,Frankrike,Frankrike,618,1947,Literature,NA,NA,NA,NA,NA,NA
USSR,Sovjet,Sovjetunionen,Russia,Russland,Ryssland,USSR (now Russia),Sovjet (nå Russland),Sovjetunionen (nu Ryssland),534,1975,Peace,NA,NA,NA,NA,NA,NA
Egypt,Egypt,Egypten,Egypt,Egypt,Egypten,Egypt,Egypt,Egypten,538,1978,Peace,NA,NA,NA,NA,NA,NA
France,Frankrike,Frankrike,France,Frankrike,Frankrike,France,Frankrike,Frankrike,490,1926,Peace,NA,NA,NA,NA,NA,NA
