id,gender,nativeName,acronym,penName,knownName.en,knownName.se,knownName.no,givenName.en,givenName.se,givenName.no,familyName.en,familyName.se,familyName.no,fullName.en,fullName.se,fullName.no,birth.date,birth.place.city.en,birth.place.city.no,birth.place.city.se,birth.place.country.en,birth.place.country.no,birth.place.country.se,birth.place.cityNow.en,birth.place.cityNow.no,birth.place.cityNow.se,birth.place.countryNow.en,birth.place.countryNow.no,birth.place.countryNow.se,birth.place.continent.en,birth.place.locationString.en,birth.place.locationString.no,birth.place.locationString.se,wikipedia.slug,wikipedia.english,wikidata.id,wikidata.url,links.rel,links.href,links.action,links.types,death.date,death.place.city.en,death.place.city.no,death.place.city.se,death.place.country.en,death.place.country.no,death.place.country.se,death.place.cityNow.en,death.place.cityNow.no,death.place.cityNow.se,death.place.countryNow.en,death.place.countryNow.no,death.place.countryNow.se,death.place.continent.en,death.place.locationString.en,death.place.locationString.no,death.place.locationString.se,orgName.en,orgName.se,orgName.no,founded.date,founded.place.city.en,founded.place.city.no,founded.place.city.se,founded.place.country.en,founded.place.country.no,founded.place.country.se,founded.place.cityNow.en,founded.place.cityNow.no,founded.place.cityNow.se,founded.place.countryNow.en,founded.place.countryNow.no,founded.place.countryNow.se,founded.place.continent.en,founded.place.locationString.en,founded.place.locationString.no,founded.place.locationString.se,birthCountry.en,birthCountry.no,birthCountry.se,birthCountryNow.en,birthCountryNow.no,birthCountryNow.se,birthContinent.en
745,male,NA,NA,NA,A. Michael Spence,A. Michael Spence,NA,A. Michael,A. Michael,NA,Spence,Spence,NA,A. Michael Spence,A. Michael Spence,NA,1943-00-00,"Montclair, NJ","Montclair, NJ","Montclair, NJ",USA,USA,USA,"Montclair, NJ","Montclair, NJ","Montclair, NJ",USA,USA,USA,North America,"Montclair, NJ, USA","Montclair, NJ, USA","Montclair, NJ, USA",Michael_Spence,https://en.wikipedia.org/wiki/Michael_Spence,Q157245,https://www.wikidata.org/wiki/Q157245,laureate,https://api.nobelprize.org/2/laureate/745,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,male,NA,NA,NA,Aage N. Bohr,Aage N. Bohr,NA,Aage N.,Aage N.,NA,Bohr,Bohr,NA,Aage Niels Bohr,Aage Niels Bohr,NA,1922-06-19,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Europe,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",Aage_Bohr,https://en.wikipedia.org/wiki/Aage_Bohr,Q103854,https://www.wikidata.org/wiki/Q103854,laureate,https://api.nobelprize.org/2/laureate/102,Get,application/json,2009-09-08,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Europe,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779,male,NA,NA,NA,Aaron Ciechanover,Aaron Ciechanover,NA,Aaron,Aaron,NA,Ciechanover,Ciechanover,NA,Aaron Ciechanover,Aaron Ciechanover,NA,1947-10-01,Haifa,Haifa,Haifa,British Protectorate of Palestine,British i Palestina,British Protectorate of Palestine,Haifa,Haifa,Haifa,Israel,Israel,Israel,Asia,"Haifa, British Protectorate of Palestine (now Israel)","Haifa, British i Palestina (nå Israel)","Haifa, British Protectorate of Palestine (nu Israel)",Aaron_Ciechanover,https://en.wikipedia.org/wiki/Aaron_Ciechanover,Q233205,https://www.wikidata.org/wiki/Q233205,laureate,https://api.nobelprize.org/2/laureate/779,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,male,NA,NA,NA,Aaron Klug,Aaron Klug,NA,Aaron,Aaron,NA,Klug,Klug,NA,Aaron Klug,Aaron Klug,NA,1926-08-11,Zelvas,Zelvas,Zelvas,Lithuania,Litauen,Litauen,Zelvas,Zelvas,Zelvas,Lithuania,Litauen,Litauen,Europe,"Zelvas, Lithuania","Zelvas, Litauen","Zelvas, Litauen",Aaron_Klug,https://en.wikipedia.org/wiki/Aaron_Klug,Q190626,https://www.wikidata.org/wiki/Q190626,laureate,https://api.nobelprize.org/2/laureate/259,Get,application/json,2018-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,male,NA,NA,NA,Abdus Salam,Abdus Salam,NA,Abdus,Abdus,NA,Salam,Salam,NA,Abdus Salam,Abdus Salam,NA,1926-01-29,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,India,India,Indien,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,Pakistan,Pakistan,Pakistan,Asia,"Jhang Maghiāna, India (now Pakistan)","Jhang Maghiāna, India (nå Pakistan)","Jhang Maghiāna, Indien (nu Pakistan)",Abdus_Salam,https://en.wikipedia.org/wiki/Abdus_Salam,Q28189,https://www.wikidata.org/wiki/Q28189,laureate,https://api.nobelprize.org/2/laureate/114,Get,application/json,1996-11-21,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,Europe,"Oxford, United Kingdom","Oxford, Storbritannia","Oxford, Storbritannien",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,male,NA,NA,NA,Abhijit Banerjee,Abhijit Banerjee,NA,Abhijit,Abhijit,NA,Banerjee,Banerjee,NA,Abhijit Banerjee,Abhijit Banerjee,NA,1961-02-21,Mumbai,Mumbai,Mumbai,India,India,Indien,Mumbai,Mumbai,Mumbai,India,India,Indien,Asia,"Mumbai, India","Mumbai, India","Mumbai, Indien",Abhijit_Banerjee,https://en.wikipedia.org/wiki/Abhijit_Banerjee,Q320578,https://www.wikidata.org/wiki/Q320578,laureate,https://api.nobelprize.org/2/laureate/982,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,male,NA,NA,NA,Abiy Ahmed Ali,Abiy Ahmed Ali,NA,Abiy,Abiy,NA,Ahmed Ali,Ahmed Ali,NA,Abiy Ahmed Ali,Abiy Ahmed Ali,NA,1976-08-15,Beshasha,Beshasha,Beshasha,Ethiopia,Etiopia,Etiopien,Beshasha,Beshasha,Beshasha,Ethiopia,Etiopia,Etiopien,Africa,"Beshasha, Ethiopia","Beshasha, Etiopia","Beshasha, Etiopien",Abiy_Ahmed,https://en.wikipedia.org/wiki/Abiy_Ahmed,Q50365049,https://www.wikidata.org/wiki/Q50365049,laureate,https://api.nobelprize.org/2/laureate/981,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
843,female,NA,NA,NA,Ada E. Yonath,Ada E. Yonath,NA,Ada E.,Ada E.,NA,Yonath,Yonath,NA,Ada E. Yonath,Ada E. Yonath,NA,1939-06-22,Jerusalem,Jerusalem,Jerusalem,British Mandate of Palestine,Palestinamandatet,Brittiska Palestinamandatet,Jerusalem,Jerusalem,Jerusalem,Israel,Israel,Israel,Asia,"Jerusalem, British Mandate of Palestine (now Israel)","Jerusalem, Palestinamandatet (nå Israel)","Jerusalem, Brittiska Palestinamandatet (nu Israel)",Ada_Yonath,https://en.wikipedia.org/wiki/Ada_Yonath,Q7426,https://www.wikidata.org/wiki/Q7426,laureate,https://api.nobelprize.org/2/laureate/843,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
866,male,NA,NA,NA,Adam G. Riess,Adam G. Riess,NA,Adam G.,Adam G.,NA,Riess,Riess,NA,Adam G. Riess,Adam G. Riess,NA,1969-12-16,"Washington, DC","Washington, DC","Washington, DC",USA,USA,USA,"Washington, DC","Washington, DC","Washington, DC",USA,USA,USA,North America,"Washington, DC, USA","Washington, DC, USA","Washington, DC, USA",Adam_Riess,https://en.wikipedia.org/wiki/Adam_Riess,Q106454,https://www.wikidata.org/wiki/Q106454,laureate,https://api.nobelprize.org/2/laureate/866,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,male,NA,NA,NA,Adolf Butenandt,Adolf Butenandt,NA,Adolf,Adolf,NA,Butenandt,Butenandt,NA,Adolf Friedrich Johann Butenandt,Adolf Friedrich Johann Butenandt,NA,1903-03-24,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Germany,Tyskland,Tyskland,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Germany,Tyskland,Tyskland,Europe,"Bremerhaven-Lehe, Germany","Bremerhaven-Lehe, Tyskland","Bremerhaven-Lehe, Tyskland",Adolf_Butenandt,https://en.wikipedia.org/wiki/Adolf_Butenandt,Q5327,https://www.wikidata.org/wiki/Q5327,laureate,https://api.nobelprize.org/2/laureate/199,Get,application/json,1995-01-18,Munich,München,München,Germany,Tyskland,Tyskland,Munich,München,München,Germany,Tyskland,Tyskland,Europe,"Munich, Germany","München, Tyskland","München, Tyskland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
