awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,motivation.en,motivation.se,prizes.links.rel,prizes.links.href,prizes.links.action,prizes.links.types,id,motivation.no,topMotivation.en,topMotivation.se
2001,2,1/3,2001-10-10,received,10000000,12518033,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their analyses of markets with asymmetric information,för deras analys av marknader med assymetrisk informations,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2001,Get,application/json,745,NA,NA,NA
1975,1,1/3,1975-10-17,received,630000,3465908,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"för upptäckten av sambandet mellan kollektiva rörelser och partikelrörelser i atomkärnor, samt den därpå baserade utvecklingen av teorien för atomkärnans struktur",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1975,Get,application/json,102,NA,NA,NA
2004,1,1/3,2004-10-06,received,10000000,11976161,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the discovery of ubiquitin-mediated protein degradation,för upptäckten av ubiquitinmedierad proteinnedbrytning,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2004,Get,application/json,779,NA,NA,NA
1982,1,1,1982-10-18,received,1150000,3158777,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,för hans utveckling av kristallografisk elektronmikroskopi och hans klarläggande av strukturen hos biologiskt viktiga nukleinsyra-proteinkomplex,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1982,Get,application/json,259,NA,NA,NA
1979,2,1/3,1979-10-15,received,800000,3042231,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","för deras insatser inom teorin för förenad svag och elektromagnetisk växelverkan mellan elementar partiklar, innefattande bl.a. förutsägelsen av den svaga neutrala strömmen",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1979,Get,application/json,114,NA,NA,NA
2019,1,1/3,2019-10-14,received,9000000,9000000,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their experimental approach to alleviating global poverty,för deras experimentella ansats för att mildra global fattigdom,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2019,Get,application/json,982,NA,NA,NA
2019,1,1,2019-10-11,received,9000000,9000000,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2019,Get,application/json,981,"for hans innsats for fred og mellomstatlig samarbeid, og da særlig for hans avgjørande initiativ for å løsa grensekonflikten med nabolandet Eritrea",NA,NA
2009,3,1/3,2009-10-07,received,10000000,11157218,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for studies of the structure and function of the ribosome,för studier av ribosomens struktur och funktion,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2009,Get,application/json,843,NA,NA,NA
2011,3,1/4,2011-10-04,received,10000000,10736783,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2011,Get,application/json,866,NA,NA,NA
1939,1,1/2,NA,received,148822,4304564,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his work on sex hormones,för hans arbeten över sexualhormoner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1939,Get,application/json,199,NA,NA,NA
1905,1,1,NA,received,138089,7753291,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",såsom ett erkännande av den förtjänst han inlagt om den organiska kemiens och den kemiska industriens utveckling genom sina arbeten rörande organiska färgämnen och hydroaromatiska föreningar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1905,Get,application/json,164,NA,NA,NA
1928,1,1,NA,received,156939,4539342,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,för hans förtjänster om utforskandet av sterinernas konstitution och deras samband med vitamingruppen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1928,Get,application/json,185,NA,NA,NA
1980,1,1,1980-10-27,received,880000,2942067,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for being a source of inspiration to repressed people, especially in Latin America",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1980,Get,application/json,541,"for rollen som inspirator for undertrykte mennesker, særlig i Latin-Amerika",NA,NA
1999,1,1,1999-10-12,received,7900000,10231411,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,för hans studier av kemiska reaktioners övergångstillstånd med femtosekundspektroskopi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1999,Get,application/json,292,NA,NA,NA
2010,3,1/3,2010-10-06,received,10000000,11015580,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for palladium-catalyzed cross couplings in organic synthesis,för palladiumkatalyserade korskopplingar i organisk syntes,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2010,Get,application/json,853,NA,NA,NA
2019,3,1/3,2019-10-09,received,9000000,9000000,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the development of lithium-ion batteries,för utveckling av litiumjonbatterier,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2019,Get,application/json,978,NA,NA,NA
2007,2,1/2,2007-10-12,received,10000000,11506932,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2007,Get,application/json,819,for deira innsats for å skape og spreie større kunnskap om menneskeskapte klimaendringar og for å leggje grunnlag for dei tiltaka som krevst for å motverke desse endringane,NA,NA
2000,1,1/3,2000-10-10,received,9000000,11538617,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the discovery and development of conductive polymers,för upptäckten och utvecklandet av ledande polymerer,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2000,Get,application/json,729,NA,NA,NA
1963,2,1/3,NA,received,265000,2890771,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,för deras upptäckter rörande jonmekanismerna vid retning och hämning i nervcellernas perifera och centrala membranavsnitt,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1963,Get,application/json,376,NA,NA,NA
2000,2,1/3,2000-10-10,received,9000000,11538617,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the discovery and development of conductive polymers,för upptäckten och utvecklandet av ledande polymerer,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2000,Get,application/json,730,NA,NA,NA
1907,1,1,NA,received,138796,7161123,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,för hans optiska precisionsinstrument och hans därmed utförda spektroskopiska och metrologiska undersökningar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1907,Get,application/json,11,NA,NA,NA
1957,1,1,NA,received,208629,2746709,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times","för hans betydelsefulla författarskap, som med skarpsynt allvar belyser mänskliga samvetsproblem i vår tid",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1957,Get,application/json,628,NA,NA,NA
1974,1,1/3,NA,received,550000,3322627,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the structural and functional organization of the cell,för deras upptäckter rörande cellens strukturella och funktionella organisation,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1974,Get,application/json,403,NA,NA,NA
1921,1,1,NA,received,121573,2578698,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect","för hans förtjänster om den teoretiska fysiken, särskilt hans upptäckt av lagen för den fotoelektriska effekten",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1921,Get,application/json,26,NA,NA,NA
2007,1,1/2,2007-10-09,received,10000000,11506932,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of Giant Magnetoresistance,för upptäckten av jättemagnetoresistans,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2007,Get,application/json,814,NA,NA,NA
1902,2,1/2,1902-12-10,received,141847,8205634,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his eminently practical administration of the Inter-Parliamentary Union,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1902,Get,application/json,465,for sin fremragende praktiske administrering av Den interparlamentariske union,NA,NA
1960,1,1,1961-10-23,received,225987,2713265,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his non-violent struggle against apartheid,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1960,Get,application/json,519,for sin ikke-voldelige kamp mot apartheid,NA,NA
